기준일자,KOSPI지수,A000270(기아),A000660(SK하이닉스),A005380(현대차),A005490(POSCO홀딩스),A005930(삼성전자),A005935(삼성전자우),A006400(삼성SDI),A035420(NAVER),A035720(카카오),A051910(LG화학)
20010102,520.95,6800,89118,11700,76500,3350,1398,47500,,2935,
20010103,521.43,6680,89511,11900,77300,3370,1398,47600,,3283,
20010104,558.02,6900,102859,12750,83500,3780,1518,49400,,3676,
20010105,580.85,6900,118170,13650,86500,3900,1580,51500,,4113,
20010108,586.65,7140,120525,14150,86200,3880,1628,51500,,4461,
20010109,589.92,7500,116207,13700,89300,3840,1584,52900,,4996,
20010110,560.81,7350,98933,12100,93000,3710,1490,48000,,4399,
20010111,561.79,6710,103644,12100,92400,3640,1530,52500,,4925,
20010112,587.87,7290,104429,13100,98000,3840,1616,57400,,5514,
20010115,599.00,7000,117777,13100,97000,3920,1686,59900,,6174,
20010116,603.42,6970,131518,13600,93500,4140,1770,60100,,6915,
20010117,595.83,7120,122685,13800,89500,4220,1740,60300,,6799,
20010118,604.05,7150,126611,14600,94400,4400,1828,60500,,5987,
20010119,619.78,7400,133088,15500,98600,4600,1906,62000,,5728,
20010122,627.45,7530,134855,15350,97400,4550,1926,62800,,6415,
20010126,591.73,7100,116011,14900,97500,3980,1758,58000,,6228,
20010129,596.54,7400,112674,15000,99000,4020,1792,59700,,5684,
20010130,591.34,7400,114833,14600,87100,4110,1838,60000,,5389,
20010131,617.91,7500,114833,15350,97000,4400,1900,60500,,6031,
20010201,612.30,7530,108551,15700,97900,4270,1880,59000,,6228,
20010202,608.48,7550,106000,14900,98000,4290,1860,59500,,6139,
20010205,579.16,7400,96774,14450,93500,4030,1780,58900,,5443,
20010206,586.58,7520,95596,14700,92500,4010,1740,60000,,5969,
20010207,576.19,7540,94320,14700,92000,3900,1690,59900,,5532,
20010208,591.57,7600,98933,15100,92000,4060,1718,61600,,5719,
20010209,595.47,7750,95203,15500,92900,4070,1730,63800,,5657,
20010212,599.20,7770,94811,15800,95800,3970,1692,65600,,5764,
20010213,598.78,7920,93338,16300,95900,3980,1668,65300,,5862,
20010214,603.83,7950,91474,17050,96700,3980,1660,66500,,5800,
20010215,603.63,7870,91375,16500,95700,4130,1720,67500,,6496,
20010216,604.92,7800,87548,16900,96000,4250,1750,66000,,6585,
20010219,596.67,7790,82444,16700,95600,4190,1720,65900,,6781,
20010220,608.74,7980,84211,17000,98000,4240,1740,67900,,6513,
20010221,594.53,8000,80088,17200,97000,4160,1700,66100,,6076,
20010222,583.41,7970,75966,17350,97000,4010,1630,67800,,5675,
20010223,583.52,7810,78518,17350,99000,3840,1600,69400,,6014,
20010226,585.32,7900,77340,17500,97500,3840,1598,69400,,5817,
20010227,577.57,7900,75181,16500,99500,3790,1578,68300,,5344,
20010228,578.10,7900,73611,16000,101000,3740,1578,64100,,5202,
20010302,559.44,7590,66250,16400,102000,3610,1600,62000,,4604,
20010305,565.38,7510,67918,17500,103000,3720,1640,63500,,5148,
20010306,568.15,7620,69096,17450,104000,3800,1700,63000,,4827,
20010307,568.64,7630,67918,16800,99400,4000,1730,64500,,4791,
20010308,579.28,8000,68016,17350,101000,4010,1740,65400,,5362,
20010309,565.76,7590,65464,17300,101500,3840,1686,64400,,5112,
20010312,545.05,7460,66937,17200,98000,3670,1596,61700,,4631,
20010313,527.97,7200,58888,16300,92000,3640,1596,60000,,4470,
20010314,543.28,7360,61833,16500,92100,3900,1670,60100,,4729,
20010315,541.83,7730,62127,16900,90700,3920,1670,62500,,4818,
20010316,538.67,7730,61637,16850,92600,3890,1682,62600,,4666,
20010319,534.33,7730,61048,16200,92000,3800,1650,61200,,4639,
20010320,531.59,7800,60557,15650,92100,3820,1640,62900,,4765,
20010321,532.59,7950,58692,15700,90900,3870,1644,65000,,4738,
20010322,527.05,7900,58888,15900,89500,3980,1680,65000,,4586,
20010323,537.97,7930,59575,17000,90000,4300,1788,65000,,4541,
20010326,545.98,7580,68507,17000,91000,4340,1804,67100,,4729,
20010327,532.90,7470,61833,16000,91500,4150,1748,64000,,4515,
20010328,528.79,7480,59674,16750,91300,4150,1748,62300,,4354,
20010329,523.80,7300,63992,17000,91100,4090,1714,58200,,4211,
20010330,523.22,7300,61931,17200,90000,4160,1710,54000,,4122,
20010402,515.20,7580,60655,17400,92100,3990,1670,55100,,4488,
20010403,503.26,7790,57514,17500,90000,3800,1618,55400,,4149,
20010404,493.69,7700,54177,17000,91000,3660,1590,53800,,3935,
20010406,506.22,7320,58103,17150,92800,3840,1660,54000,,4193,
20010409,497.46,7310,54962,17250,93700,3710,1616,52900,,3952,
20010410,491.21,7120,51625,17450,93000,3640,1554,51500,,3961,
20010411,507.53,7100,50448,18400,92500,3720,1608,51400,,4113,
20010412,514.21,6850,51429,17700,86700,4010,1690,53100,,4158,
20010413,516.10,6930,50350,17700,86000,4060,1680,52700,,4122,
20010416,508.35,6940,49172,18300,85000,3940,1646,52600,,4095,
20010417,513.97,7000,47700,17600,85000,3970,1664,52400,,4149,
20010418,540.00,7400,54766,18200,89400,4280,1750,54800,,4639,
20010419,563.31,7400,62912,18100,87800,4700,1884,57200,,5193,
20010420,556.29,7700,64483,17700,88700,4490,1800,57000,,5443,
20010423,560.94,7660,66838,17900,90600,4540,1816,56900,,6094,
20010424,555.64,7660,60459,17600,91300,4400,1780,54800,,6772,
20010425,566.34,7870,63403,18400,94000,4520,1818,54800,,6433,18489
20010426,561.62,7650,60753,18450,95000,4470,1840,54900,,6183,17636
20010427,556.63,7520,60361,19000,95400,4340,1832,53800,,5942,18062
20010430,577.36,7820,66446,20600,98000,4580,1960,54700,,6647,18204
20010502,583.70,8700,66446,22000,101500,4580,1998,55000,,7441,18489
20010503,584.40,9350,67329,21400,101000,4600,1978,58000,,7254,21262
20010504,585.60,9350,68016,22100,99900,4460,1964,58900,,8120,21191
20010507,596.50,9230,71746,22300,101000,4600,2000,59400,,9083,21120
20010508,590.91,9230,82444,21300,100000,4590,1960,59700,,8566,20978
20010509,578.84,9400,77144,21500,98200,4500,1924,59000,,8352,20764
20010510,581.38,9600,80481,22550,96000,4500,1944,58000,,8584,20836
20010511,583.06,9700,79205,22600,96000,4410,1920,56800,,8352,21191
20010514,584.08,9540,91081,23100,98100,4430,1928,56500,,8352,21120
20010515,581.30,9890,85977,22350,100500,4340,1920,55400,,8387,21120
20010516,572.40,9300,79794,21600,101500,4210,1880,56000,,7780,20622
20010517,596.39,9500,81070,22000,111000,4430,1920,56500,,8423,22258
20010518,600.54,10300,79303,22800,113000,4410,1910,58900,,7968,24960
20010521,618.96,11150,81364,24850,118000,4580,2040,59600,,8093,25956
20010522,617.99,10900,80874,23650,115000,4620,2040,60300,,8200,25316
20010523,622.60,10650,79303,24250,116000,4700,2070,60600,,7914,26169
20010524,622.28,10850,78420,25000,110000,4530,2000,62000,,7709,26453
20010525,624.11,10700,86762,24450,107500,4440,1972,63500,,7977,27093
20010528,618.47,10150,84603,23500,106500,4450,1936,64000,,7780,27022
20010529,632.05,10800,89707,24300,108000,4640,1980,64500,,8013,26880
20010530,628.42,10550,88725,24650,108000,4470,1918,63000,,7745,27520
20010531,612.16,10150,85192,25250,104500,4240,1810,61300,,7441,26596
20010601,607.07,10250,84211,25000,104500,4240,1800,61000,,7129,25173
20010604,610.91,10200,84996,26000,105000,4240,1780,60200,,6933,24747
20010605,597.66,9950,81659,25600,104000,4060,1742,60000,,6924,24747
20010607,601.14,10000,85290,25000,100000,4280,1804,59900,,6960,24036
20010608,621.78,10400,91081,26000,99800,4470,1896,61500,,7441,25956
20010611,608.23,9950,89216,26100,97700,4280,1816,62800,,7067,26169
20010612,607.15,9930,90492,26100,97400,4220,1816,62800,,7129,25813
20010613,614.05,9840,84898,25700,97700,4280,1848,63700,,7138,25316
20010614,613.75,9800,81070,25600,99900,4230,1850,63200,,7084,25884
20010615,618.96,9900,80481,26300,103000,4190,1814,62100,,7067,25529
20010618,608.78,9700,72924,26600,100000,4100,1750,61400,,6888,25316
20010619,608.91,10350,71059,28300,103000,4110,1744,60900,,6906,24604
20010620,595.72,10000,64090,28700,98000,4000,1696,61800,,6603,24036
20010621,595.53,10200,64875,28650,98500,3960,1668,62400,,6719,23609
20010622,599.08,10550,62814,28650,101000,3870,1638,61500,,6576,24178
20010625,598.02,10600,62029,29500,100000,3870,1638,61000,,6317,24747
20010626,588.71,10450,58594,28800,98800,3780,1600,60400,,6174,25316
20010627,584.76,10250,54177,27850,99300,3720,1568,60600,,6299,25600
20010628,583.27,10400,53981,27300,98000,3750,1570,61300,,6103,24818
20010629,595.13,10900,54864,28300,104000,3840,1610,62700,,6299,24604
20010702,596.74,11200,54177,26900,104000,3860,1624,62500,,6335,24533
20010703,594.31,10950,52116,25800,100500,3890,1634,61600,,6335,24676
20010704,597.25,10900,51429,26000,102000,3940,1660,61800,,6263,24604
20010705,593.61,11000,48681,27000,104000,3860,1640,61600,,6103,24178
20010706,578.54,10550,45442,26100,101500,3670,1598,60400,,5773,24036
