기준일자,KOSPI지수(종가),A000270(기아-시가),A000270(기아-종가),A000660(SK하이닉스-시가),A000660(SK하이닉스-종가),A005380(현대차-시가),A005380(현대차-종가),A005490(POSCO홀딩스-시가),A005490(POSCO홀딩스-종가),A005930(삼성전자-시가),A005930(삼성전자-종가),A005935(삼성전자우-시가),A005935(삼성전자우-종가),A006400(삼성SDI-시가),A006400(삼성SDI-종가),A035420(NAVER-시가),A035420(NAVER-종가),A035720(카카오-시가),A035720(카카오-종가),A051910(LG화학-시가),A051910(LG화학-종가)
20010102,520.95,7280.0,6800.0,76556.0,89118.0,11900.0,11700.0,76000.0,76500.0,3160.0,3350.0,1310.0,1398.0,47500.0,47500.0,,,2622.0,2935.0,,
20010103,521.43,6800.0,6680.0,86174.0,89511.0,11500.0,11900.0,76200.0,77300.0,3229.0,3370.0,1366.0,1398.0,47100.0,47600.0,,,2997.0,3283.0,,
20010104,558.02,6680.0,6900.0,102859.0,102859.0,12900.0,12750.0,88000.0,83500.0,3790.0,3780.0,1500.0,1518.0,50400.0,49400.0,,,3676.0,3676.0,,
20010105,580.85,6900.0,6900.0,105019.0,118170.0,13200.0,13650.0,83500.0,86500.0,3760.0,3900.0,1516.0,1580.0,49400.0,51500.0,,,3898.0,4113.0,,
20010108,586.65,6900.0,7140.0,117778.0,120525.0,13400.0,14150.0,84000.0,86200.0,3820.0,3880.0,1520.0,1628.0,50900.0,51500.0,,,3934.0,4461.0,,
20010109,589.92,7140.0,7500.0,117778.0,116207.0,13850.0,13700.0,87000.0,89300.0,3830.0,3840.0,1620.0,1584.0,51000.0,52900.0,,,4478.0,4996.0,,
20010110,560.81,7450.0,7350.0,107963.0,98933.0,13300.0,12100.0,92000.0,93000.0,3780.0,3710.0,1560.0,1490.0,52000.0,48000.0,,,5032.0,4399.0,,
20010111,561.79,7350.0,6710.0,96185.0,103644.0,12450.0,12100.0,93000.0,92400.0,3789.0,3640.0,1510.0,1530.0,51900.0,52500.0,,,4612.0,4925.0,,
20010112,587.87,6710.0,7290.0,111693.0,104429.0,12500.0,13100.0,97000.0,98000.0,3800.0,3840.0,1620.0,1616.0,53900.0,57400.0,,,5371.0,5514.0,,
20010115,599.0,7280.0,7000.0,107963.0,117777.0,13300.0,13100.0,99100.0,97000.0,3860.0,3920.0,1629.0,1686.0,58600.0,59900.0,,,6173.0,6174.0,,
20010116,603.42,7000.0,6970.0,121704.0,131518.0,13100.0,13600.0,93400.0,93500.0,3960.0,4140.0,1686.0,1770.0,60100.0,60100.0,,,6245.0,6915.0,,
20010117,595.83,7000.0,7120.0,131519.0,122685.0,13500.0,13800.0,93000.0,89500.0,4059.0,4220.0,1750.0,1740.0,59200.0,60300.0,,,6424.0,6799.0,,
20010118,604.05,7120.0,7150.0,125433.0,126611.0,14100.0,14600.0,89000.0,94400.0,4240.0,4400.0,1776.0,1828.0,61000.0,60500.0,,,6763.0,5987.0,,
20010119,619.78,7160.0,7400.0,137604.0,133088.0,15450.0,15500.0,100000.0,98600.0,4699.0,4600.0,1900.0,1906.0,61000.0,62000.0,,,5995.0,5728.0,,
20010122,627.45,7400.0,7530.0,132500.0,134855.0,15800.0,15350.0,99000.0,97400.0,4600.0,4550.0,1898.0,1926.0,62500.0,62800.0,,,5728.0,6415.0,,
20010126,591.73,7530.0,7100.0,130733.0,116011.0,15200.0,14900.0,97000.0,97500.0,4450.0,3980.0,1900.0,1758.0,61500.0,58000.0,,,6513.0,6228.0,,
20010129,596.54,7250.0,7400.0,116207.0,112674.0,15000.0,15000.0,99400.0,99000.0,4000.0,4020.0,1758.0,1792.0,56000.0,59700.0,,,6067.0,5684.0,,
20010130,591.34,7410.0,7400.0,115815.0,114833.0,15100.0,14600.0,99000.0,87100.0,4100.0,4110.0,1800.0,1838.0,61000.0,60000.0,,,5763.0,5389.0,,
20010131,617.91,7450.0,7500.0,111889.0,114833.0,14900.0,15350.0,95000.0,97000.0,4090.0,4400.0,1850.0,1900.0,60800.0,60500.0,,,5272.0,6031.0,,
20010201,612.3,7500.0,7530.0,107963.0,108551.0,15100.0,15700.0,95000.0,97900.0,4270.0,4270.0,1806.0,1880.0,60000.0,59000.0,,,6174.0,6228.0,,
20010202,608.48,7540.0,7550.0,109926.0,106000.0,15400.0,14900.0,97500.0,98000.0,4290.0,4290.0,1854.0,1860.0,59900.0,59500.0,,,6460.0,6139.0,,
20010205,579.16,7550.0,7400.0,98737.0,96774.0,14500.0,14450.0,97000.0,93500.0,4170.0,4030.0,1802.0,1780.0,57500.0,58900.0,,,5969.0,5443.0,,
20010206,586.58,7420.0,7520.0,94517.0,95596.0,14100.0,14700.0,93500.0,92500.0,3980.0,4010.0,1680.0,1740.0,58900.0,60000.0,,,5531.0,5969.0,,
20010207,576.19,7540.0,7540.0,96381.0,94320.0,14200.0,14700.0,92700.0,92000.0,3960.0,3900.0,1720.0,1690.0,60000.0,59900.0,,,5746.0,5532.0,,
20010208,591.57,7550.0,7600.0,94222.0,98933.0,14500.0,15100.0,91000.0,92000.0,3920.0,4060.0,1660.0,1718.0,59900.0,61600.0,,,5638.0,5719.0,,
20010209,595.47,7600.0,7750.0,96283.0,95203.0,15000.0,15500.0,91800.0,92900.0,4040.0,4070.0,1720.0,1730.0,61000.0,63800.0,,,5701.0,5657.0,,
20010212,599.2,7750.0,7770.0,94222.0,94811.0,15500.0,15800.0,91400.0,95800.0,3840.0,3970.0,1700.0,1692.0,63200.0,65600.0,,,5442.0,5764.0,,
20010213,598.78,7850.0,7920.0,97363.0,93338.0,15800.0,16300.0,95800.0,95900.0,4040.0,3980.0,1716.0,1668.0,65900.0,65300.0,,,5942.0,5862.0,,
20010214,603.83,7940.0,7950.0,92259.0,91474.0,16300.0,17050.0,93900.0,96700.0,3920.0,3980.0,1660.0,1660.0,65300.0,66500.0,,,5799.0,5800.0,,
20010215,603.63,7960.0,7870.0,96185.0,91375.0,17150.0,16500.0,97000.0,95700.0,4200.0,4130.0,1736.0,1720.0,68000.0,67500.0,,,5978.0,6496.0,,
20010216,604.92,7900.0,7800.0,91278.0,87548.0,16700.0,16900.0,96200.0,96000.0,4150.0,4250.0,1720.0,1750.0,67700.0,66000.0,,,6691.0,6585.0,,
20010219,596.67,7800.0,7790.0,85389.0,82444.0,16500.0,16700.0,93000.0,95600.0,4180.0,4190.0,1730.0,1720.0,66000.0,65900.0,,,6531.0,6781.0,,
20010220,608.74,7800.0,7980.0,82444.0,84211.0,16300.0,17000.0,93800.0,98000.0,4190.0,4240.0,1720.0,1740.0,65900.0,67900.0,,,6923.0,6513.0,,
20010221,594.53,7980.0,8000.0,80678.0,80088.0,16900.0,17200.0,98100.0,97000.0,4160.0,4160.0,1724.0,1700.0,67100.0,66100.0,,,6174.0,6076.0,,
20010222,583.41,8000.0,7970.0,78519.0,75966.0,17000.0,17350.0,96500.0,97000.0,4080.0,4010.0,1682.0,1630.0,65200.0,67800.0,,,5808.0,5675.0,,
20010223,583.52,7970.0,7810.0,74887.0,78518.0,17150.0,17350.0,98000.0,99000.0,3920.0,3840.0,1610.0,1600.0,67800.0,69400.0,,,5621.0,6014.0,,
20010226,585.32,7810.0,7900.0,78911.0,77340.0,17350.0,17500.0,99000.0,97500.0,3850.0,3840.0,1600.0,1598.0,69900.0,69400.0,,,6156.0,5817.0,,
20010227,577.57,7900.0,7900.0,78420.0,75181.0,17200.0,16500.0,100000.0,99500.0,3840.0,3790.0,1560.0,1578.0,70000.0,68300.0,,,5888.0,5344.0,,
20010228,578.1,7900.0,7900.0,73611.0,73611.0,16500.0,16000.0,99500.0,101000.0,3700.0,3740.0,1542.0,1578.0,67600.0,64100.0,,,5121.0,5202.0,,
20010302,559.44,7710.0,7590.0,74200.0,66250.0,15600.0,16400.0,102500.0,102000.0,3700.0,3610.0,1578.0,1600.0,64000.0,62000.0,,,5085.0,4604.0,,
20010305,565.38,7590.0,7510.0,60950.0,67918.0,16400.0,17500.0,99800.0,103000.0,3529.0,3720.0,1570.0,1640.0,61000.0,63500.0,,,4452.0,5148.0,,
20010306,568.15,7520.0,7620.0,70470.0,69096.0,17600.0,17450.0,105000.0,104000.0,3820.0,3800.0,1700.0,1700.0,62600.0,63000.0,,,5148.0,4827.0,,
20010307,568.64,7630.0,7630.0,71648.0,67918.0,17050.0,16800.0,104000.0,99400.0,3960.0,4000.0,1720.0,1730.0,63200.0,64500.0,,,4996.0,4791.0,,
20010308,579.28,7640.0,8000.0,68017.0,68016.0,16950.0,17350.0,99900.0,101000.0,3950.0,4010.0,1706.0,1740.0,65700.0,65400.0,,,4996.0,5362.0,,
20010309,565.76,7890.0,7590.0,67035.0,65464.0,17500.0,17300.0,101000.0,101500.0,3940.0,3840.0,1701.0,1686.0,64900.0,64400.0,,,5353.0,5112.0,,
20010312,545.05,7590.0,7460.0,65857.0,66937.0,17050.0,17200.0,99500.0,98000.0,3700.0,3670.0,1644.0,1596.0,61500.0,61700.0,,,4871.0,4631.0,,
20010313,527.97,7460.0,7200.0,65956.0,58888.0,16750.0,16300.0,95000.0,92000.0,3570.0,3640.0,1540.0,1596.0,58700.0,60000.0,,,4300.0,4470.0,,
20010314,543.28,7250.0,7360.0,64778.0,61833.0,16600.0,16500.0,92600.0,92100.0,3790.0,3900.0,1650.0,1670.0,61000.0,60100.0,,,4782.0,4729.0,,
20010315,541.83,7360.0,7730.0,57515.0,62127.0,15900.0,16900.0,89900.0,90700.0,3790.0,3920.0,1620.0,1670.0,59500.0,62500.0,,,4389.0,4818.0,,
20010316,538.67,7800.0,7730.0,62030.0,61637.0,16550.0,16850.0,91000.0,92600.0,3879.0,3890.0,1664.0,1682.0,62000.0,62600.0,,,4871.0,4666.0,,
20010319,534.33,7730.0,7730.0,60852.0,61048.0,16700.0,16200.0,91000.0,92000.0,3810.0,3800.0,1649.0,1650.0,62000.0,61200.0,,,4514.0,4639.0,,
20010320,531.59,7730.0,7800.0,62815.0,60557.0,16200.0,15650.0,93000.0,92100.0,3899.0,3820.0,1660.0,1640.0,62900.0,62900.0,,,4818.0,4765.0,,
20010321,532.59,7800.0,7950.0,58889.0,58692.0,15200.0,15700.0,89900.0,90900.0,3720.0,3870.0,1584.0,1644.0,62400.0,65000.0,,,4648.0,4738.0,,
20010322,527.05,7950.0,7900.0,58693.0,58888.0,15700.0,15900.0,90100.0,89500.0,3979.0,3980.0,1650.0,1680.0,64000.0,65000.0,,,4764.0,4586.0,,
20010323,537.97,7900.0,7930.0,60852.0,59575.0,16100.0,17000.0,90000.0,90000.0,4090.0,4300.0,1720.0,1788.0,65000.0,65000.0,,,4728.0,4541.0,,
20010326,545.98,7930.0,7580.0,61637.0,68507.0,17400.0,17000.0,91000.0,91000.0,4400.0,4340.0,1812.0,1804.0,66500.0,67100.0,,,4568.0,4729.0,,
