Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank,Date
005930,삼성전자,KOSPI,,55300.0,2,-1300.0,-2.3,56000.0,56200.0,55300.0,11295935.0,628653753150.0,330128975015000.0,5969782550,STK,1,2022-12-29
373220,LG에너지솔루션,KOSPI,,435500.0,2,-1000.0,-0.23,435500.0,442500.0,432500.0,265226.0,116156988000.0,101907000000000.0,234000000,STK,2,2022-12-29
207940,삼성바이오로직스,KOSPI,,821000.0,2,-9000.0,-1.08,822000.0,831000.0,820000.0,35179.0,28994143000.0,58433854000000.0,71174000,STK,3,2022-12-29
000660,SK하이닉스,KOSPI,,75000.0,2,-1000.0,-1.32,75200.0,75600.0,74700.0,1736661.0,130328025000.0,54600177375000.0,728002365,STK,4,2022-12-29
051910,LG화학,KOSPI,,600000.0,2,-2000.0,-0.33,597000.0,607000.0,593000.0,103968.0,62525555000.0,42355405800000.0,70592343,STK,5,2022-12-29
005935,삼성전자우,KOSPI,,50500.0,2,-800.0,-1.56,51000.0,51100.0,50400.0,722569.0,36552249900.0,41555778350000.0,822886700,STK,6,2022-12-29
006400,삼성SDI,KOSPI,,591000.0,2,-12000.0,-1.99,604000.0,606000.0,591000.0,197767.0,118176938000.0,40639837230000.0,68764530,STK,7,2022-12-29
005380,현대차,KOSPI,,151000.0,2,-3000.0,-1.95,153000.0,154000.0,150500.0,552974.0,83810742000.0,32263896237000.0,213668187,STK,8,2022-12-29
035420,NAVER,KOSPI,,177500.0,2,-2500.0,-1.39,180000.0,185000.0,177500.0,656658.0,118186269500.0,29118712587500.0,164049085,STK,9,2022-12-29
000270,기아,KOSPI,,59300.0,2,-1600.0,-2.63,60500.0,60600.0,59300.0,1172767.0,70005059900.0,24038046477100.0,405363347,STK,10,2022-12-29
035720,카카오,KOSPI,,53100.0,2,-500.0,-0.93,53500.0,55300.0,52900.0,1319611.0,70904387100.0,23651291549700.0,445410387,STK,11,2022-12-29
005490,POSCO홀딩스,KOSPI,,276500.0,2,-14500.0,-4.98,288500.0,289000.0,276000.0,606222.0,169850262000.0,23383945095000.0,84571230,STK,12,2022-12-29
068270,셀트리온,KOSPI,,160500.0,2,-5000.0,-3.02,164500.0,165000.0,159500.0,432740.0,69698211500.0,22599236205000.0,140805210,STK,13,2022-12-29
028260,삼성물산,KOSPI,,113500.0,2,-4500.0,-3.81,117000.0,117500.0,113000.0,280073.0,32121871000.0,21211683693500.0,186887081,STK,14,2022-12-29
105560,KB금융,KOSPI,,48500.0,2,-950.0,-1.92,48950.0,49400.0,48500.0,707932.0,34593164150.0,19831507798000.0,408897068,STK,15,2022-12-29
012330,현대모비스,KOSPI,,200500.0,2,-6500.0,-3.14,205000.0,205500.0,200000.0,215394.0,43471715000.0,18904161347000.0,94285094,STK,16,2022-12-29
055550,신한지주,KOSPI,,35200.0,2,-700.0,-1.95,35500.0,35900.0,35200.0,1032343.0,36599415200.0,17909227388800.0,508784869,STK,17,2022-12-29
096770,SK이노베이션,KOSPI,,154000.0,2,-2500.0,-1.6,155000.0,156500.0,153000.0,201938.0,31184459500.0,14239696856000.0,92465564,STK,18,2022-12-29
032830,삼성생명,KOSPI,,71000.0,2,-1000.0,-1.39,71100.0,71900.0,70600.0,211081.0,15039355000.0,14200000000000.0,200000000,STK,19,2022-12-29
066570,LG전자,KOSPI,,86500.0,2,-2900.0,-3.24,88500.0,89400.0,86500.0,451139.0,39440513200.0,14155535911000.0,163647814,STK,20,2022-12-29
034730,SK,KOSPI,,189000.0,2,-7500.0,-3.82,195000.0,196000.0,189000.0,143674.0,27418995000.0,14014223181000.0,74149329,STK,21,2022-12-29
015760,한국전력,KOSPI,,21800.0,2,-650.0,-2.9,22300.0,22750.0,21650.0,2756682.0,61083024700.0,13994816878600.0,641964077,STK,22,2022-12-29
003670,포스코케미칼,KOSPI,,180000.0,1,1000.0,0.56,180000.0,185000.0,179500.0,548339.0,99599363500.0,13943379600000.0,77463220,STK,23,2022-12-29
033780,KT&G,KOSPI,,91500.0,1,100.0,0.11,90500.0,92000.0,90500.0,307887.0,28154576800.0,12562263475500.0,137292497,STK,24,2022-12-29
086790,하나금융지주,KOSPI,,42050.0,2,-100.0,-0.24,42050.0,42550.0,41750.0,723264.0,30524577600.0,12442741165800.0,295903476,STK,25,2022-12-29
003550,LG,KOSPI,,78100.0,2,-1400.0,-1.76,78100.0,79400.0,78000.0,169981.0,13326789500.0,12285207553300.0,157300993,STK,26,2022-12-29
323410,카카오뱅크,KOSPI,,24300.0,2,-750.0,-2.99,24850.0,25400.0,23950.0,1906638.0,46672888750.0,11584391669100.0,476723937,STK,27,2022-12-29
051900,LG생활건강,KOSPI,,722000.0,2,-17000.0,-2.3,733000.0,736000.0,704000.0,84144.0,60616040000.0,11276338234000.0,15618197,STK,28,2022-12-29
010130,고려아연,KOSPI,,564000.0,2,-11000.0,-1.91,567000.0,575000.0,560000.0,48740.0,27589122000.0,11202821112000.0,19863158,STK,29,2022-12-29
017670,SK텔레콤,KOSPI,,47400.0,2,-800.0,-1.66,48150.0,48200.0,47400.0,407839.0,19456420650.0,10372691025600.0,218833144,STK,30,2022-12-29
329180,현대중공업,KOSPI,,116000.0,2,-4500.0,-3.73,120000.0,120000.0,115500.0,116649.0,13644530000.0,10297681456000.0,88773116,STK,31,2022-12-29
036570,엔씨소프트,KOSPI,,448000.0,1,14500.0,3.34,443000.0,464500.0,443000.0,173209.0,78794226500.0,9835401856000.0,21954022,STK,32,2022-12-29
034020,두산에너빌리티,KOSPI,,15400.0,2,-300.0,-1.91,15750.0,16200.0,15350.0,4185941.0,65680740200.0,9829943708200.0,638308033,STK,33,2022-12-29
009150,삼성전기,KOSPI,,130500.0,2,-3500.0,-2.61,133000.0,133500.0,130000.0,280030.0,36745738500.0,9747527328000.0,74693696,STK,34,2022-12-29
011200,HMM,KOSPI,,19550.0,2,-550.0,-2.74,19900.0,20000.0,19500.0,1774831.0,34894537650.0,9560722146800.0,489039496,STK,35,2022-12-29
018260,삼성에스디에스,KOSPI,,123000.0,2,-2500.0,-1.99,124500.0,125500.0,123000.0,62223.0,7707206500.0,9517469400000.0,77377800,STK,36,2022-12-29
000810,삼성화재,KOSPI,,200000.0,2,-6000.0,-2.91,203500.0,204500.0,198500.0,66949.0,13468668000.0,9474967400000.0,47374837,STK,37,2022-12-29
010950,S-Oil,KOSPI,,83400.0,2,-2900.0,-3.36,85000.0,85200.0,82600.0,350223.0,29288792100.0,9389404852800.0,112582792,STK,38,2022-12-29
030200,KT,KOSPI,,33800.0,2,-50.0,-0.15,33800.0,34100.0,33300.0,745365.0,25226496850.0,8825579110400.0,261111808,STK,41,2022-12-29
003490,대한항공,KOSPI,,22950.0,2,-1350.0,-5.56,24100.0,24150.0,22850.0,2038736.0,47307904100.0,8450664169950.0,368220661,STK,42,2022-12-29
316140,우리금융지주,KOSPI,,11550.0,2,-250.0,-2.12,11700.0,11900.0,11550.0,2983405.0,34812342850.0,8409099340950.0,728060549,STK,43,2022-12-29
