eod_date,item_code,price_close,updown_price,updown_ratio,trade_count,trade_amount
20010102,KOSPI,520.95,16.33,3.24,231014.0,1223328.0
20010103,KOSPI,521.43,0.48,0.09,324584.0,1583403.0
20010104,KOSPI,558.02,36.59,7.02,444540.0,2984762.0
20010105,KOSPI,580.85,22.83,4.09,578286.0,3569582.0
20010108,KOSPI,586.65,5.8,1.0,558645.0,2948092.0
20010109,KOSPI,589.92,3.27,0.56,558967.0,2833999.0
20010110,KOSPI,560.81,29.11,-4.93,642378.0,3285030.0
20010111,KOSPI,561.79,0.98,0.17,518788.0,2721732.0
20010112,KOSPI,587.87,26.08,4.64,713787.0,3980150.0
20010115,KOSPI,599.0,11.13,1.89,611961.0,3407840.0
20010116,KOSPI,603.42,4.42,0.74,606279.0,3352424.0
20010117,KOSPI,595.83,7.59,-1.26,501660.0,3078571.0
20010118,KOSPI,604.05,8.22,1.38,453764.0,3021314.0
20010119,KOSPI,619.78,15.73,2.6,432454.0,3002558.0
20010122,KOSPI,627.45,7.67,1.24,484953.0,2513407.0
20010126,KOSPI,591.73,35.72,-5.69,443736.0,2603229.0
20010129,KOSPI,596.54,4.81,0.81,461154.0,2397521.0
20010130,KOSPI,591.34,5.2,-0.87,498673.0,2418190.0
20010131,KOSPI,617.91,26.57,4.49,442127.0,2585503.0
20010201,KOSPI,612.3,5.61,-0.91,396006.0,2211415.0
20010202,KOSPI,608.48,3.82,-0.62,345289.0,1794823.0
20010205,KOSPI,579.16,29.32,-4.82,354074.0,1897013.0
20010206,KOSPI,586.58,7.42,1.28,326302.0,1608178.0
20010207,KOSPI,576.19,10.39,-1.77,322720.0,1469919.0
20010208,KOSPI,591.57,15.38,2.67,282243.0,1726606.0
20010209,KOSPI,595.47,3.9,0.66,374564.0,2030005.0
20010212,KOSPI,599.2,3.73,0.63,318923.0,1895873.0
20010213,KOSPI,598.78,0.42,-0.07,336730.0,1990403.0
20010214,KOSPI,603.83,5.05,0.84,413234.0,2151929.0
20010215,KOSPI,603.63,0.2,-0.03,359764.0,2020480.0
20010216,KOSPI,604.92,1.29,0.21,319525.0,1853013.0
20010219,KOSPI,596.67,8.25,-1.36,316677.0,1609531.0
20010220,KOSPI,608.74,12.07,2.02,498568.0,2722296.0
20010221,KOSPI,594.53,14.21,-2.33,439148.0,2430723.0
20010222,KOSPI,583.41,11.12,-1.87,434981.0,2300710.0
20010223,KOSPI,583.52,0.11,0.02,400765.0,2115210.0
20010226,KOSPI,585.32,1.8,0.31,448986.0,1803583.0
20010227,KOSPI,577.57,7.75,-1.32,475761.0,2148639.0
20010228,KOSPI,578.1,0.53,0.09,351257.0,1582342.0
20010302,KOSPI,559.44,18.66,-3.23,329687.0,1903049.0
20010305,KOSPI,565.38,5.94,1.06,309881.0,1568472.0
20010306,KOSPI,568.15,2.77,0.49,485018.0,2222220.0
20010307,KOSPI,568.64,0.49,0.09,364058.0,1838749.0
20010308,KOSPI,579.28,10.64,1.87,349375.0,1510045.0
20010309,KOSPI,565.76,13.52,-2.33,316003.0,1420750.0
20010312,KOSPI,545.05,20.71,-3.66,360939.0,1556781.0
20010313,KOSPI,527.97,17.08,-3.13,358141.0,1629242.0
20010314,KOSPI,543.28,15.31,2.9,415188.0,1784541.0
20010315,KOSPI,541.83,1.45,-0.27,385191.0,1671056.0
20010316,KOSPI,538.67,3.16,-0.58,332615.0,1409229.0
20010319,KOSPI,534.33,4.34,-0.81,253799.0,1188001.0
20010320,KOSPI,531.59,2.74,-0.51,279529.0,1229766.0
20010321,KOSPI,532.59,1.0,0.19,364742.0,1357914.0
