기준일자,KOSPI지수-종가,A005930-삼성전자-시가,A005930-삼성전자-종가,A000660-SK하이닉스-시가,A000660-SK하이닉스-종가,A006400-삼성SDI-시가,A006400-삼성SDI-종가,A005380-현대차-시가,A005380-현대차-종가,A000270-기아-시가,A000270-기아-종가,A005490-POSCO홀딩스-시가,A005490-POSCO홀딩스-종가,A012330-현대모비스-시가,A012330-현대모비스-종가,A015760-한국전력-시가,A015760-한국전력-종가,A033780-KT&G-시가,A033780-KT&G-종가,A003550-LG-시가,A003550-LG-종가
20010102,520.95,3160.0,3350.0,76556.0,89118.0,47500.0,47500.0,11900.0,11700.0,7280.0,6800.0,76000.0,76500.0,4500.0,4495.0,24000.0,24300.0,18200.0,18200.0,12899.0,13017.0
20010103,521.43,3229.0,3370.0,86174.0,89511.0,47100.0,47600.0,11500.0,11900.0,6800.0,6680.0,76200.0,77300.0,4520.0,4440.0,23900.0,23900.0,18200.0,18000.0,12899.0,13603.0
20010104,558.02,3790.0,3780.0,102859.0,102859.0,50400.0,49400.0,12900.0,12750.0,6680.0,6900.0,88000.0,83500.0,4600.0,4500.0,25000.0,25050.0,18400.0,18050.0,14600.0,14659.0
20010105,580.85,3760.0,3900.0,105019.0,118170.0,49400.0,51500.0,13200.0,13650.0,6900.0,6900.0,83500.0,86500.0,4505.0,4720.0,25050.0,26000.0,18050.0,17600.0,14190.0,15831.0
20010108,586.65,3820.0,3880.0,117778.0,120525.0,50900.0,51500.0,13400.0,14150.0,6900.0,7140.0,84000.0,86200.0,4560.0,4720.0,25650.0,25850.0,17700.0,17750.0,15596.0,16066.0
20010109,589.92,3830.0,3840.0,117778.0,116207.0,51000.0,52900.0,13850.0,13700.0,7140.0,7500.0,87000.0,89300.0,4820.0,5120.0,25000.0,25000.0,17800.0,17950.0,16300.0,16945.0
20010110,560.81,3780.0,3710.0,107963.0,98933.0,52000.0,48000.0,13300.0,12100.0,7450.0,7350.0,92000.0,93000.0,5090.0,4660.0,24900.0,23150.0,17800.0,17550.0,16652.0,15597.0
20010111,561.79,3789.0,3640.0,96185.0,103644.0,51900.0,52500.0,12450.0,12100.0,7350.0,6710.0,93000.0,92400.0,4680.0,4700.0,23600.0,23000.0,17450.0,16600.0,16066.0,15655.0
20010112,587.87,3800.0,3840.0,111693.0,104429.0,53900.0,57400.0,12500.0,13100.0,6710.0,7290.0,97000.0,98000.0,4700.0,4795.0,23500.0,23750.0,17200.0,17450.0,16301.0,15949.0
20010115,599.0,3860.0,3920.0,107963.0,117777.0,58600.0,59900.0,13300.0,13100.0,7280.0,7000.0,99100.0,97000.0,4830.0,4850.0,24050.0,23600.0,17200.0,17100.0,15949.0,16887.0
20010116,603.42,3960.0,4140.0,121704.0,131518.0,60100.0,60100.0,13100.0,13600.0,7000.0,6970.0,93400.0,93500.0,4890.0,4850.0,23800.0,23350.0,17000.0,17000.0,16886.0,17004.0
20010117,595.83,4059.0,4220.0,131519.0,122685.0,59200.0,60300.0,13500.0,13800.0,7000.0,7120.0,93000.0,89500.0,4800.0,4800.0,23250.0,23600.0,17100.0,17250.0,16770.0,16770.0
20010118,604.05,4240.0,4400.0,125433.0,126611.0,61000.0,60500.0,14100.0,14600.0,7120.0,7150.0,89000.0,94400.0,4700.0,4795.0,23900.0,23700.0,17050.0,17150.0,17004.0,17590.0
20010119,619.78,4699.0,4600.0,137604.0,133088.0,61000.0,62000.0,15450.0,15500.0,7160.0,7400.0,100000.0,98600.0,4900.0,5050.0,24250.0,24100.0,17150.0,17050.0,18529.0,19115.0
20010122,627.45,4600.0,4550.0,132500.0,134855.0,62500.0,62800.0,15800.0,15350.0,7400.0,7530.0,99000.0,97400.0,5320.0,5800.0,24300.0,24200.0,17150.0,17250.0,19701.0,19643.0
20010126,591.73,4450.0,3980.0,130733.0,116011.0,61500.0,58000.0,15200.0,14900.0,7530.0,7100.0,97000.0,97500.0,5900.0,6050.0,24500.0,24200.0,17200.0,16900.0,18762.0,16945.0
20010129,596.54,4000.0,4020.0,116207.0,112674.0,56000.0,59700.0,15000.0,15000.0,7250.0,7400.0,99400.0,99000.0,6140.0,5900.0,24400.0,24450.0,17100.0,17000.0,17004.0,16770.0
20010130,591.34,4100.0,4110.0,115815.0,114833.0,61000.0,60000.0,15100.0,14600.0,7410.0,7400.0,99000.0,87100.0,5980.0,5840.0,24900.0,24900.0,17000.0,16700.0,16887.0,17414.0
20010131,617.91,4090.0,4400.0,111889.0,114833.0,60800.0,60500.0,14900.0,15350.0,7450.0,7500.0,95000.0,97000.0,5760.0,6200.0,25150.0,26100.0,16750.0,16850.0,17062.0,17825.0
20010201,612.3,4270.0,4270.0,107963.0,108551.0,60000.0,59000.0,15100.0,15700.0,7500.0,7530.0,95000.0,97900.0,5800.0,5910.0,25900.0,25500.0,16850.0,16900.0,17532.0,17590.0
20010202,608.48,4290.0,4290.0,109926.0,106000.0,59900.0,59500.0,15400.0,14900.0,7540.0,7550.0,97500.0,98000.0,5960.0,5780.0,25900.0,25500.0,16900.0,16700.0,17532.0,17180.0
20010205,579.16,4170.0,4030.0,98737.0,96774.0,57500.0,58900.0,14500.0,14450.0,7550.0,7400.0,97000.0,93500.0,5600.0,5560.0,25000.0,24000.0,16550.0,16000.0,16417.0,16418.0
20010206,586.58,3980.0,4010.0,94517.0,95596.0,58900.0,60000.0,14100.0,14700.0,7420.0,7520.0,93500.0,92500.0,5560.0,5780.0,24300.0,25100.0,16000.0,16250.0,16417.0,16652.0
