eod_date,KOSPI,A005930-price_close,A005930-price_open,A000660-price_close,A000660-price_open,A005490-price_close,A005490-price_open,A006400-price_close,A006400-price_open,A051910-price_close,A051910-price_open,A005380-price_close,A005380-price_open,A035420-price_close,A035420-price_open,A003670-price_close,A003670-price_open,A000270-price_close,A000270-price_open,A012330-price_close,A012330-price_open,A035720-price_close,A035720-price_open,A055550-price_close,A055550-price_open,A066570-price_close,A066570-price_open
20030102,635.17,6430.0,6380.0,6281.0,5987.0,118000.0,117000.0,70000.0,68600.0,58738.0,57741.0,28600.0,28200.0,2616.0,2416.0,718.0,698.0,9190.0,9000.0,23000.0,22300.0,6174.0,5736.0,12141.0,11853.0,41094.0,40996.0
20030103,661.1,6880.0,6700.0,6477.0,6674.0,121500.0,122000.0,73600.0,72100.0,64000.0,61155.0,29850.0,29600.0,2926.0,2736.0,714.0,716.0,9550.0,9350.0,24400.0,24000.0,6371.0,6317.0,12429.0,12381.0,45150.0,42462.0
20030106,666.71,6990.0,6940.0,6379.0,6576.0,124500.0,122500.0,73300.0,74200.0,65422.0,64000.0,30250.0,29950.0,2964.0,2953.0,698.0,718.0,9700.0,9720.0,24900.0,24500.0,6692.0,6388.0,12669.0,12477.0,45345.0,45540.0
20030107,652.2,6850.0,7180.0,5987.0,6576.0,123000.0,126000.0,71500.0,74500.0,63716.0,66843.0,28900.0,30850.0,2837.0,3036.0,709.0,702.0,9420.0,9900.0,24000.0,25450.0,6603.0,6772.0,12285.0,12813.0,43782.0,46420.0
20030108,651.72,6800.0,6920.0,5888.0,5987.0,124000.0,123000.0,70600.0,71500.0,66133.0,64000.0,28650.0,29300.0,2989.0,2889.0,714.0,703.0,9520.0,9500.0,24500.0,24350.0,6960.0,6710.0,12285.0,12381.0,44173.0,44465.0
20030109,630.4,6460.0,6620.0,5790.0,5791.0,121500.0,124000.0,69000.0,69400.0,66276.0,65421.0,27000.0,28000.0,3047.0,2920.0,704.0,725.0,8940.0,9400.0,24000.0,24300.0,7192.0,6781.0,11901.0,12237.0,42023.0,43244.0
20030110,628.36,6480.0,6600.0,5692.0,5889.0,125000.0,124500.0,67200.0,69300.0,66844.0,67982.0,26550.0,27500.0,2906.0,3131.0,700.0,707.0,8470.0,9050.0,24500.0,24550.0,6852.0,7405.0,11805.0,12045.0,41974.0,43000.0
20030113,648.06,6690.0,6400.0,6379.0,5693.0,133000.0,127500.0,68400.0,66200.0,66133.0,67413.0,27300.0,26050.0,2979.0,2905.0,705.0,683.0,8650.0,8500.0,24550.0,24600.0,7192.0,6933.0,11949.0,11709.0,42511.0,41338.0
20030114,650.05,6570.0,6600.0,6085.0,6183.0,132500.0,133500.0,70400.0,67900.0,64640.0,64852.0,28200.0,27100.0,2921.0,2978.0,704.0,693.0,8540.0,8630.0,24600.0,24700.0,6960.0,7138.0,12573.0,11901.0,41827.0,41827.0
20030115,648.29,6480.0,6600.0,5987.0,6085.0,132500.0,135000.0,69700.0,71900.0,63716.0,65421.0,28000.0,28250.0,2921.0,2926.0,700.0,695.0,8710.0,8600.0,24200.0,24600.0,7254.0,7120.0,12669.0,12573.0,41241.0,42315.0
